# Pages that could carry a price and do not have one yet.
#
# Every row here is a page with a Product node in its JSON-LD but no offers
# block, because docs/build-prices.mjs strips offers from any page absent from
# prices.csv. So each row is a page currently eligible for no rich result.
#
# THIS FILE IS A QUEUE, NOT A SOURCE OF TRUTH. Nothing reads it at build time.
# prices.csv is still the only file that sets a published price.
#
# To price a page, fill in low_inr and high_inr on its row - and low_usd and
# high_usd, which the page shows as indicative only and are optional - then:
#
#   node docs/build-price-worklist.mjs --adopt   moves filled rows to prices.csv
#   node docs/build-prices.mjs                   writes them into the pages
#
# Adopted rows leave this file on the next refresh; rows left empty stay. Do not
# edit the url column: it is regenerated from the source tree, and a URL that
# matches no page is refused rather than adopted.
#
# Update the "# updated:" date in prices.csv when you finish a pricing pass.
# priceValidUntil is derived from it, so a price adopted into a stale file is
# published already expired.
#
# generated: 2026-08-20 by docs/build-price-worklist.mjs
# pending: 451 page(s)

url,low_inr,high_inr,low_usd,high_usd,unit
/hastelloy/B2/sheets/,,,,,kg

# /hastelloy/B3/  (3)  |  hastelloy priced on 10 page(s) at INR 1,800-6,500 per kg
/hastelloy/B3/plates/,,,,,kg
/hastelloy/B3/round-bar/,,,,,kg
/hastelloy/B3/sheets/,,,,,kg

# /hastelloy/C2000/  (2)  |  hastelloy priced on 10 page(s) at INR 1,800-6,500 per kg
/hastelloy/C2000/round-bar/,,,,,kg
/hastelloy/C2000/sheets/,,,,,kg

# /hastelloy/C4/  (4)  |  hastelloy priced on 10 page(s) at INR 1,800-6,500 per kg
/hastelloy/C4/foil/,,,,,kg
/hastelloy/C4/plates/,,,,,kg
/hastelloy/C4/round-bar/,,,,,kg
/hastelloy/C4/sheets/,,,,,kg

# /hastelloy/G30/  (3)  |  hastelloy priced on 10 page(s) at INR 1,800-6,500 per kg
/hastelloy/G30/plates/,,,,,kg
/hastelloy/G30/round-bar/,,,,,kg
/hastelloy/G30/sheets/,,,,,kg

# /hastelloy/N/  (3)  |  hastelloy priced on 10 page(s) at INR 1,800-6,500 per kg
/hastelloy/N/plates/,,,,,kg
/hastelloy/N/round-bar/,,,,,kg
/hastelloy/N/sheets/,,,,,kg

# /Hastelloy/round-bars-1/  (1)  |  hastelloy priced on 10 page(s) at INR 1,800-6,500 per kg
/Hastelloy/round-bars-1/,,,,,kg

# /hastelloy/X/  (2)  |  hastelloy priced on 10 page(s) at INR 1,800-6,500 per kg
/hastelloy/X/round-bar/,,,,,kg
/hastelloy/X/sheets/,,,,,kg

